customer_id,name,email,phone,industry,country,state,payment_terms_days,credit_limit,created_at
CUST-0001,Alpha Technologies,ap0@elitesolutions.com,+1-225-499-7539,Professional Services,US,MI,30,97334.51,2023-03-04
CUST-0002,Apex Partners,ap1@betatechnologie.com,+1-801-101-5894,Professional Services,US,NY,30,132591.23,2024-07-26
CUST-0003,Summit Technologies,ap2@cloudpartners.com,+1-893-557-7360,Government,DE,,45,234181.95,2024-12-22
CUST-0004,Data Ventures,ap3@primecorporatio.com,+1-482-461-4876,Education,US,CA,15,118154.67,2024-03-20
CUST-0005,Smart Enterprises,ap4@smartlabs.com,+1-535-543-4705,Healthcare,CA,,45,151298.61,2023-06-11
CUST-0006,Alpha Industries,ap5@globalsolutions.com,+1-258-668-5002,Manufacturing,AU,,30,204043.86,2023-07-12
CUST-0007,Elite Services,ap6@betatechnologie.com,+1-762-956-4776,Government,US,IL,60,406918.36,2023-11-03
CUST-0008,Smart Partners,ap7@alphalabs.com,+1-694-139-2973,Manufacturing,DE,,15,112456.4,2023-08-17
CUST-0009,Prime Ventures,ap8@primelabs.com,+1-826-359-9722,Retail,US,TX,15,76948.53,2024-12-10
CUST-0010,Vertex Systems,ap9@apexsystems.com,+1-286-697-6598,Finance,US,MI,15,209867.47,2023-05-27
CUST-0011,Alpha Solutions,ap10@digitalventures.com,+1-255-206-5269,Professional Services,US,PA,30,105925.69,2025-01-01
CUST-0012,Summit Systems,ap11@enterpriseindus.com,+1-751-963-9737,Healthcare,CA,,45,216864.05,2023-05-29
CUST-0013,Smart Labs,ap12@enterprisesolut.com,+1-489-223-3451,Healthcare,US,NY,60,131849.64,2023-06-10
CUST-0014,Vertex Industries,ap13@pinnaclegroup.com,+1-545-138-6881,Technology,UK,,45,187533.92,2023-03-14
CUST-0015,Digital Industries,ap14@apexventures.com,+1-910-219-8335,Technology,US,VA,15,105408.01,2024-08-31
CUST-0016,Elite Services,ap15@summitcorporati.com,+1-928-737-9365,Technology,US,IL,45,195154.56,2023-05-22
CUST-0017,Data Labs,ap16@globalventures.com,+1-970-635-1632,Finance,DE,,15,296063.07,2023-04-16
CUST-0018,Tech Industries,ap17@globalpartners.com,+1-216-818-6327,Manufacturing,US,MI,45,140634.92,2024-05-24
